category,text
AndroJava,november 30 2020 nmap android androjava post going talk new library using nmap android project released library github bintray using library use nmap non rooted android device alternatives similar projects available google play network mapper actually binary library based binary versions published kost author network mapper binary files nmap available kosts github repository use three simple step using library project add internet permission manifestadd nmapandroid dependency app level gradle file.write simple code permission uses-permission android name= android.permission.internet dependency implementation 'ir.mstajbakhsh nmap-android:1.0.0' simple code nmaputilities n new nmaputilities context n.startinstallation final stringbuilder line_buffer new stringbuilder outputstream ops new outputstream override public void write int b b system.out.println line_buffer.tostring line_buffer.setlength 0 else line_buffer.append character.tochars b try n.execcommand ops `` -a `` 192.168.1.0/24 `` -- system-dns catch exception e e.printstacktrace sample output project nmap android sample output limitation due size limit two binary versions included inside library including arm x86 additionally flow chart automatic installation library depicted nmap android automatic installation process source code source code available personal repository github https //github.com/mirsamantajbakhsh/nmapandroid donation forget buy cup coffee bitcoin wallet address 1f5uiemdcljx5kktwhe1wkc63fekjymmxs android library nmap currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post
AndroJava,november 22 2020 tor android library androjavaanonymity networks previous post talked compiling tor source android added helper libraries starting configuring tor post created library based tor binary version 0.4.4.0 published github jfrog jitpack process whole process simple following picture depicts tor android process importing tor android android studio 3 ways importing aar library android studio download latest release tor android github page.import jcenter implementation 'ir.mstajbakhsh tor-android:1.0.0' get jitpack allprojects repositories maven url 'https //jitpack.io dependencies implementation 'com.github.mirsamantajbakhsh torandroid:1.0.0' sample code sample code starting tor android application one activity needed permission internet added manifest override protected void oncreate bundle savedinstancestate super.oncreate savedinstancestate setcontentview r.layout.activity_main asynctask.execute new runnable override public void run final torproxy tb new torproxy.torbuilder getapplicationcontext .setsocksport tor_transproxy_port_default //9150 example .setusebrideges false .setexternalhiddenserviceport 80 .setinternalhiddenserviceport 80 .setdebuggable false .build tb.init runonuithread new runnable override public void run toast.maketext getapplicationcontext `` initialized toast.length_long .show try tb.start new iconnectiondone override public void onsuccess log.d `` torandroid `` tor started successfully `` runonuithread new runnable override public void run toast.maketext getapplicationcontext `` tor ok. toast.length_long .show toast.maketext getapplicationcontext tb.getonionaddress toast.length_long .show override public void onfailure final exception ex log.e `` torandroid `` error starting tor.\r\n ex.getmessage runonuithread new runnable override public void run toast.maketext getapplicationcontext `` error\r\n ex.getmessage toast.length_long .show catch ioexception e e.printstacktrace result ok. see useful links https //github.com/mirsamantajbakhsh/torandroidhttps //bintray.com/mirsamantajbakhsh/android/torandroid android library tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,november 22 2020 tor android library androjavaanonymity networks previous post talked compiling tor source android added helper libraries starting configuring tor post created library based tor binary version 0.4.4.0 published github jfrog jitpack process whole process simple following picture depicts tor android process importing tor android android studio 3 ways importing aar library android studio download latest release tor android github page.import jcenter implementation 'ir.mstajbakhsh tor-android:1.0.0' get jitpack allprojects repositories maven url 'https //jitpack.io dependencies implementation 'com.github.mirsamantajbakhsh torandroid:1.0.0' sample code sample code starting tor android application one activity needed permission internet added manifest override protected void oncreate bundle savedinstancestate super.oncreate savedinstancestate setcontentview r.layout.activity_main asynctask.execute new runnable override public void run final torproxy tb new torproxy.torbuilder getapplicationcontext .setsocksport tor_transproxy_port_default //9150 example .setusebrideges false .setexternalhiddenserviceport 80 .setinternalhiddenserviceport 80 .setdebuggable false .build tb.init runonuithread new runnable override public void run toast.maketext getapplicationcontext `` initialized toast.length_long .show try tb.start new iconnectiondone override public void onsuccess log.d `` torandroid `` tor started successfully `` runonuithread new runnable override public void run toast.maketext getapplicationcontext `` tor ok. toast.length_long .show toast.maketext getapplicationcontext tb.getonionaddress toast.length_long .show override public void onfailure final exception ex log.e `` torandroid `` error starting tor.\r\n ex.getmessage runonuithread new runnable override public void run toast.maketext getapplicationcontext `` error\r\n ex.getmessage toast.length_long .show catch ioexception e e.printstacktrace result ok. see useful links https //github.com/mirsamantajbakhsh/torandroidhttps //bintray.com/mirsamantajbakhsh/android/torandroid android library tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,september 24 2020 compiling tor android anonymity networks post want talk compiling using tor android projects main source relies guardian repository getting tor binary indicated tor-android repository adding maven url gradle config project able use tor latest build android however add link tor android maven url get click link error maven urlkof tor android binary therefore decided download complete source code compile scratch getting tor easy method getting source code git clone https //github.com/guardianproject/tor-android.git getting code need download submodules located external subfolder tor android submodules git submodule update -- init nested submodules git submodule update -- init -- recursive https //www.vogella.com/tutorials/gitsubmodules/article.html text=2.3.- pulling 20with 20submodules 20the 20git 20pull 20command 20 everything ok. use ./gradlew build build source code however compile binaries first watch youtube video details contribution added code make installing starting tor easier functionality similar tor onion project see repository following link https //github.com/mirsamantajbakhsh/tor-android/tree/hs_connect screenshot commits tor-android project branch named hs_connect contribution tor-android installing starting tor android video whole process recorded uploaded youtube channel join channel get videos android compile scratch source code tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,april 27 2020 onion balance v2 beautiful load balancer tor anonymity networkscryptographytutorial post talk little onionbalance load balancer tor network enables adding multiple hidden services accessed one onion address picture life hacker small description want know tor network hidden services check previous posts anonimity category idea load balancing serving service web service using multiple instances web servers load balancing helps users wait less loading web page less traffic load server general idea web load balancer simple web server load balancer normal load balancing schema dns server resolve domain name multiple ips using load balancing algorithm round robin tor network dns server hidden services served hsd hidden service directories get information link final step hidden service connection establishment therefore bob owns hidden service register introduction points hsd db picture bob runs hidden service one address bob hidden services instance onion balance bob run multiple hidden services ask hdss change introduction points multiple hidden services one introduction point one address transferred ip 1st hidden service 2nd 3rd etc onion balance similar tools works idea ‌behind onion balance running onion balance made video tutorial running onion balance question feel free ask onion balance video tutorial anonymity load balancer onionbalance tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Cryptography,april 27 2020 onion balance v2 beautiful load balancer tor anonymity networkscryptographytutorial post talk little onionbalance load balancer tor network enables adding multiple hidden services accessed one onion address picture life hacker small description want know tor network hidden services check previous posts anonimity category idea load balancing serving service web service using multiple instances web servers load balancing helps users wait less loading web page less traffic load server general idea web load balancer simple web server load balancer normal load balancing schema dns server resolve domain name multiple ips using load balancing algorithm round robin tor network dns server hidden services served hsd hidden service directories get information link final step hidden service connection establishment therefore bob owns hidden service register introduction points hsd db picture bob runs hidden service one address bob hidden services instance onion balance bob run multiple hidden services ask hdss change introduction points multiple hidden services one introduction point one address transferred ip 1st hidden service 2nd 3rd etc onion balance similar tools works idea ‌behind onion balance running onion balance made video tutorial running onion balance question feel free ask onion balance video tutorial anonymity load balancer onionbalance tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Tutorial,april 27 2020 onion balance v2 beautiful load balancer tor anonymity networkscryptographytutorial post talk little onionbalance load balancer tor network enables adding multiple hidden services accessed one onion address picture life hacker small description want know tor network hidden services check previous posts anonimity category idea load balancing serving service web service using multiple instances web servers load balancing helps users wait less loading web page less traffic load server general idea web load balancer simple web server load balancer normal load balancing schema dns server resolve domain name multiple ips using load balancing algorithm round robin tor network dns server hidden services served hsd hidden service directories get information link final step hidden service connection establishment therefore bob owns hidden service register introduction points hsd db picture bob runs hidden service one address bob hidden services instance onion balance bob run multiple hidden services ask hdss change introduction points multiple hidden services one introduction point one address transferred ip 1st hidden service 2nd 3rd etc onion balance similar tools works idea ‌behind onion balance running onion balance made video tutorial running onion balance question feel free ask onion balance video tutorial anonymity load balancer onionbalance tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,august 6 2019 creating hidden mail service anonymity networkstutorial previously described run hidden mail service tor connect using thunderbird post create video demo told posts scenario creating hidden mail service scenario made mail server hmailserver located behind tor hidden service access internet means access internet mean hmailserver access internet blocked firewall send emails servers used ensure local delivery emails additionally two users alice bob fake domain hidden.one communicate hidden mail server video creating hidden mail find video youtube channel mr tajbakhsh youtube channel creating configuring hidden mail service tor email server hidden service hmailserver tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Tutorial,august 6 2019 creating hidden mail service anonymity networkstutorial previously described run hidden mail service tor connect using thunderbird post create video demo told posts scenario creating hidden mail service scenario made mail server hmailserver located behind tor hidden service access internet means access internet mean hmailserver access internet blocked firewall send emails servers used ensure local delivery emails additionally two users alice bob fake domain hidden.one communicate hidden mail server video creating hidden mail find video youtube channel mr tajbakhsh youtube channel creating configuring hidden mail service tor email server hidden service hmailserver tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
AndroJava,july 8 2019 broadcast android androjavamediatutorial previously created “ hiddenlivecamera ” library android github received issue geminird indicating phone responded described reason geminird asked live audio stream another post wrote broadcasting media files mp3 using mixxx icecast post write library use android projects order publish stream android code library grabbed coolmic live audio android library created library coolmic code listed icecast client library code found github live audio repository addition published aar library included android applications making life easier … using library needed configure stream server icecast android client using liveaudio android library library code accessible github repository icecast side config icecast audio stream server choice using post broadcasting start configuration tutorial used following stream source config icecast mount type= normal mount-name /harleyquinn /mount-name username joker /username password hackme /password max-listeners 2 /max-listeners max-listener-duration 360000 /max-listener-duration dump-file /tmp/harley.ogg /dump-file charset iso8859-1 /charset public 1 /public stream-name harley quinn radio /stream-name stream-description listen live audio gotham joker /stream-description genre heavy /genre bitrate 64 /bitrate type application/ogg /type subtype vorbis /subtype hidden 1 /hidden burst-size 65536 /burst-size mp3-metadata-interval 4096 /mp3-metadata-interval on-connect /home/icecast/bin/source-start /on-connect on-disconnect /home/icecast/bin/source-end /on-disconnect /mount start icecast using settings similar android side library published jcenter use android project assume using gradle like implementation 'ir.mstajbakhsh.android liveaudio:1.0.0' adding library one set config object icecase configuration like config c new config c.host `` 192.168.43.194 c.port 8000 c.username `` joker c.password `` hackme c.mount `` /harleyquinn c.samplerate 16000 pass config object liveaudio object liveaudio l new liveaudio c try l.start catch exception e e.printstacktrace everything ok. start application broadcast video broadcast android created demo video using liveaudio live audio library action android broadcast library live currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
